INFO 2023-09-20 14:14:34,275 basehttp 19848 9188 "GET /random/two/ HTTP/1.1" 200 1
INFO 2023-09-20 14:14:34,379 basehttp 19848 13024 "GET /random/two/ HTTP/1.1" 200 1
WARNING 2023-09-20 14:14:40,200 log 19848 9188 Not Found: /פטשדו
WARNING 2023-09-20 14:14:40,201 basehttp 19848 9188 "GET /%D1%84%D0%B8%D1%89%D0%B3%D0%B5 HTTP/1.1" 404 2394
WARNING 2023-09-20 14:14:40,319 log 19848 13024 Not Found: /פטשדו
WARNING 2023-09-20 14:14:40,320 basehttp 19848 13024 "GET /%D1%84%D0%B8%D1%89%D0%B3%D0%B5 HTTP/1.1" 404 2394
WARNING 2023-09-20 14:15:03,520 log 19848 9188 Not Found: /פטשדו
WARNING 2023-09-20 14:15:03,521 basehttp 19848 9188 "GET /%D1%84%D0%B8%D1%89%D0%B3%D0%B5 HTTP/1.1" 404 2394
INFO 2023-09-20 14:15:03,534 autoreload 19848 13792 C:\Users\odaro\pythonProject\DjangoGeelbrains\Seminar1\Home1\shop\urls.py changed, reloading.
INFO 2023-09-20 14:15:04,249 autoreload 964 16592 Watching for file changes with StatReloader
WARNING 2023-09-20 14:15:04,442 log 964 15524 Not Found: /פטשדו
WARNING 2023-09-20 14:15:04,443 basehttp 964 15524 "GET /%D1%84%D0%B8%D1%89%D0%B3%D0%B5 HTTP/1.1" 404 2561
WARNING 2023-09-20 14:15:04,806 log 964 15916 Not Found: /פטשדו
WARNING 2023-09-20 14:15:04,807 basehttp 964 15916 "GET /%D1%84%D0%B8%D1%89%D0%B3%D0%B5 HTTP/1.1" 404 2561
WARNING 2023-09-20 14:15:04,922 log 964 15524 Not Found: /פטשדו
WARNING 2023-09-20 14:15:04,923 basehttp 964 15524 "GET /%D1%84%D0%B8%D1%89%D0%B3%D0%B5 HTTP/1.1" 404 2561
WARNING 2023-09-20 14:15:05,652 log 964 15916 Not Found: /פטשדו
WARNING 2023-09-20 14:15:05,653 basehttp 964 15916 "GET /%D1%84%D0%B8%D1%89%D0%B3%D0%B5 HTTP/1.1" 404 2561
WARNING 2023-09-20 14:15:05,778 log 964 15524 Not Found: /פטשדו
